date,Open,High,Low,Close,Volume,Adj Close,Stock
2008-12-23,"1,539.37","1,548.44","1,512.54","1,521.54","1,331,050,000.00","1,521.54",ggg
2008-12-24,"1,525.15","1,527.23","1,516.15","1,524.90","490,990,000.00","1,524.90",ggg
2008-12-26,"1,531.20","1,532.13","1,518.97","1,530.24","592,760,000.00","1,530.24",ggg
2008-12-29,"1,529.54","1,530.92","1,493.45","1,510.32","1,186,240,000.00","1,510.32",ggg
2008-12-30,"1,521.18","1,550.70","1,517.26","1,550.70","1,374,180,000.00","1,550.70",ggg
2008-12-31,"1,550.87","1,586.81","1,548.88","1,577.03","1,521,220,000.00","1,577.03",ggg
2009-01-02,"1,578.87","1,636.03","1,571.98","1,632.21","1,438,410,000.00","1,632.21",ggg
2009-01-05,"1,621.48","1,640.46","1,604.63","1,628.03","1,816,580,000.00","1,628.03",ggg
2009-01-06,"1,642.37","1,665.63","1,636.25","1,652.38","2,137,640,000.00","1,652.38",ggg
2009-01-07,"1,621.63","1,625.37","1,588.20","1,599.06","2,020,170,000.00","1,599.06",ggg
2009-01-08,"1,590.25","1,617.01","1,584.28","1,617.01","1,968,160,000.00","1,617.01",ggg
2009-01-09,"1,617.05","1,617.26","1,569.87","1,571.59","1,907,390,000.00","1,571.59",ggg
2009-01-12,"1,573.45","1,573.46","1,528.00","1,538.79","1,763,590,000.00","1,538.79",ggg
2009-01-13,"1,537.42","1,557.95","1,527.47","1,546.46","1,965,570,000.00","1,546.46",ggg
2009-01-14,"1,521.71","1,528.65","1,485.26","1,489.64","1,919,980,000.00","1,489.64",ggg
2009-01-15,"1,489.46","1,521.58","1,456.72","1,511.84","2,507,870,000.00","1,511.84",ggg
2009-01-16,"1,532.47","1,538.82","1,490.35","1,529.33","2,235,070,000.00","1,529.33",ggg
2009-01-20,"1,520.76","1,521.85","1,440.86","1,440.86","1,989,610,000.00","1,440.86",ggg
